faculty_id,name,institution_id,google_scholar_id
cohencharash_yochi,Yochi Cohen-Charash,baruch,z9zdLDIAAAAJ
scherbaum_charles,Charles A. Scherbaum,baruch,UsVFH7cAAAAJ
wang_wei,Wei Wang,baruch,DwxPR9AAAAAJ
chatterjee_dia,Dia Chatterjee,baruch,
godollei_anna,Anna Godollei,baruch,s-GZAy8AAAAJ
bazzoli_andrea,Andrea Bazzoli,baruch,zu8Us98AAAAJ
crain_tori,Tori L. Crain,pdx,qUIckLcAAAAJ
paolettihatcher_jensine,Jensine Paoletti-Hatcher,pdx,J_GbL8MAAAAJ
randall_jason,Jason G. Randall,pdx,cT8LWcUAAAAJ
yang_liuqin,Liu-Qin Yang,pdx,arBLOxAAAAAJ
hanges_paul,Paul J. Hanges,umd,oEWUNuMAAAAJ
grand_james,James A. Grand,umd,Y1w9_1oAAAAJ
wessel_jennifer,Jennifer L. Wessel,umd,m_tEihAAAAAJ
lahuis_david,David M. LaHuis,wright,_Q1k5eoAAAAJ
miller_corey,Corey E. Miller,wright,
steelejohnson_debra,Debra Steele-Johnson,wright,
christiansen_neil,Neil D. Christiansen,cmich,
obrien_kimberly,Kimberly E. O'Brien,cmich,-K55amsAAAAJ
prewett_matthew,Matthew S. Prewett,cmich,vqpmPQsAAAAJ
burns_gary,Gary N. Burns,fit,fQpVNQUAAAAJ
converse_patrick,Patrick D. Converse,fit,15WPB2EAAAAJ
griffith_richard,Richard L. Griffith,fit,PDhejLwAAAAJ
steelman_lisa,Lisa A. Steelman,fit,vxmpMEgAAAAJ
thayer_amanda,Amanda L. Thayer,fit,zBaf1WIAAAAJ
wildman_jessica,Jessica L. Wildman,fit,_JYUCtgAAAAJ
durik_amanda,Amanda M. Durik,niu,FyOITO0AAAAJ
finkelstein_lisa,Lisa M. Finkelstein,niu,XpM3TEsAAAAJ
mccarthy_randy,Randy J. McCarthy,niu,5ONVkm8AAAAJ
saef_rachel,Rachel Saef,niu,8JJtf4YAAAAJ
sagarin_brad,Brad J. Sagarin,niu,9IlYGZAAAAAJ
santuzzi_alecia,Alecia M. Santuzzi,niu,67qtXloAAAAJ
valle_ibette,Ibette Valle,niu,K5SadLoAAAAJ
connelly_shane,Shane Connelly,ou,tBFPdoIAAAAJ
day_eric,Eric A. Day,ou,tsxoQYQAAAAJ
he_yaqing,Yaqing He,ou,
kim_jeongjin,JeongJin Kim,ou,3312EoQAAAAJ
snyder_lori,Lori Anderson Snyder,ou,
cartersowell_adrienne,Adrienne R. Carter-Sowell,ou,tGwBI80AAAAJ
ayman_roya,Roya Ayman,iit,hPFmocsAAAAJ
bauer_kristina,Kristina N. Bauer,iit,4C46sfcAAAAJ
morris_scott,Scott B. Morris,iit,aiWrHTkAAAAJ
halpert_jane,Jane A. Halpert,depaul,
katz_ian,Ian M. Katz,depaul,ywGflxEAAAAJ
rauvola_shelly,R. Shelly Rauvola,depaul,1ANFTW8AAAAJ
stuhlmacher_alice,Alice F. Stuhlmacher,depaul,IHuBNAoAAAAJ
roch_sylvia,Sylvia G. Roch,ualbany,zErez8gAAAAJ
dalal_dev,Dev K. Dalal,ualbany,GoXKNzcAAAAJ
williams_kevin,Kevin J. Williams,ualbany,18FQvm8AAAAJ
cheung_hokwan,Ho Kwan Cheung,calgary,JwM1yyEAAAAJ
reiterpalmon_roni,Roni Reiter-Palmon,unomaha,k74dhjEAAAAJ
folberg_abigail,Abigail M. Folberg,unomaha,iRqlSY8AAAAJ
hunter_samuel,Samuel T. Hunter,unomaha,uJpT238AAAAJ
kramer_william,William S. Kramer,unomaha,4N5qvy4AAAAJ
nguyen_tin,Tin L. Nguyen,unomaha,2EwFZG0AAAAJ
saxena_mahima,Mahima Saxena,unomaha,t2znOwkAAAAJ
narayan_anupama,Anupama Narayan,utulsa,fHcB5e4AAAAJ
lee_juseob,Juseob Lee,utulsa,q9B3GQUAAAAJ
thapa_stuti,Stuti Thapa,utulsa,xJRhc0sAAAAJ
bruklee_valentina,Valentina Bruk-Lee,fiu,bxj2rK8AAAAJ
viswesvaran_chockalingam,Chockalingam Viswesvaran,fiu,QMtjpPAAAAAJ
eaton_asia,Asia A. Eaton,fiu,NuAnBdYAAAAJ
